Date,ticker,stock_name,Open,High,Low,Close,Volume,Adj Close
2023-01-02,005930.KS,삼성전자,61900,62380,60280,61270,14412688,61270
2023-01-03,005930.KS,삼성전자,61160,61570,60350,61420,16178266,61420
2023-01-04,005930.KS,삼성전자,61440,62660,60350,61820,12906972,61820
2023-01-05,005930.KS,삼성전자,61780,63000,61390,62420,15458440,62420
2023-01-06,005930.KS,삼성전자,62480,64160,62210,63810,17013673,63810
2023-01-09,005930.KS,삼성전자,63590,64650,63120,63660,17804665,63660
2023-01-10,005930.KS,삼성전자,63240,64620,62450,63530,13894304,63530
2023-01-11,005930.KS,삼성전자,62940,65470,62320,64820,16836730,64820
2023-01-12,005930.KS,삼성전자,64910,65620,63490,64340,10035942,64340
2023-01-13,005930.KS,삼성전자,64230,65840,63890,64880,13922133,64880
2023-01-16,005930.KS,삼성전자,64470,65280,62630,63360,14660812,63360
2023-01-17,005930.KS,삼성전자,63330,64060,63180,63680,17117674,63680
2023-01-18,005930.KS,삼성전자,63710,64610,63230,64420,14345949,64420
2023-01-19,005930.KS,삼성전자,64820,65570,62830,63640,23474877,63640
2023-01-20,005930.KS,삼성전자,64170,65740,63840,64850,15932328,64850
2023-01-23,005930.KS,삼성전자,64450,68090,63670,67530,17861046,67530
2023-01-24,005930.KS,삼성전자,67620,68200,67230,67890,20348358,67890
2023-01-25,005930.KS,삼성전자,67760,69050,67590,68090,14233797,68090
2023-01-26,005930.KS,삼성전자,68480,70040,68160,69740,14414933,69740
2023-01-27,005930.KS,삼성전자,69550,70570,68620,69430,16812786,69430
2023-01-30,005930.KS,삼성전자,69360,71260,68870,70690,11573323,70690
2023-01-31,005930.KS,삼성전자,70400,73390,69570,72540,14961169,72540
2023-02-01,005930.KS,삼성전자,72920,75190,72380,74340,19949902,74340
2023-02-02,005930.KS,삼성전자,74610,75380,71630,72570,18508685,72570
2023-02-03,005930.KS,삼성전자,72440,74380,71600,73180,8058218,73180
2023-02-06,005930.KS,삼성전자,73150,74800,72500,73790,12011090,73790
2023-02-07,005930.KS,삼성전자,73910,75160,73010,73840,16907686,73840
2023-02-08,005930.KS,삼성전자,73890,74100,73690,73980,16852848,73980
2023-02-09,005930.KS,삼성전자,74150,74240,71920,73140,20620583,73140
2023-02-10,005930.KS,삼성전자,73560,74770,72790,74460,15460412,74460
2023-02-13,005930.KS,삼성전자,73800,73930,72970,73260,10545960,73260
2023-02-14,005930.KS,삼성전자,73210,75130,72210,74250,13134296,74250
2023-02-15,005930.KS,삼성전자,74740,75190,72080,72670,13655790,72670
2023-02-16,005930.KS,삼성전자,72450,73140,71170,72660,12911957,72660
2023-02-17,005930.KS,삼성전자,72130,76160,71440,74820,14064987,74820
2023-02-20,005930.KS,삼성전자,74880,75680,73580,75500,13207373,75500
2023-02-21,005930.KS,삼성전자,75030,76510,74340,75840,13156789,75840
2023-02-22,005930.KS,삼성전자,75140,76990,74500,75950,10048528,75950
2023-02-23,005930.KS,삼성전자,76590,77750,75820,77200,13186740,77200
2023-02-24,005930.KS,삼성전자,77450,78310,76740,78070,15591457,78070
2023-02-27,005930.KS,삼성전자,78320,79450,77150,78050,12994430,78050
2023-02-28,005930.KS,삼성전자,77970,79120,76410,77370,15092653,77370
2023-03-01,005930.KS,삼성전자,76980,79500,76120,78790,18251634,78790
2023-03-02,005930.KS,삼성전자,79200,79350,77490,78450,11688193,78450
2023-03-03,005930.KS,삼성전자,77850,78020,75740,76100,17787966,76100
2023-03-06,005930.KS,삼성전자,76490,77210,74330,75190,18069268,75190
2023-03-07,005930.KS,삼성전자,75320,75710,73290,73670,14743744,73670
2023-03-08,005930.KS,삼성전자,74150,75030,73150,74510,12549762,74510
2023-03-09,005930.KS,삼성전자,74400,78330,73640,78110,24412084,78110
2023-03-10,005930.KS,삼성전자,77840,77940,76630,77450,11893755,77450
