작성자,평점,날짜,리뷰내용
강성원,1,2026-05-30 23:38:18,오늘의 포인트를 하려면 업데이트를.하라고 문구가 뜨는데 업데이트가 되지 않음
고태성,4,2026-05-30 23:02:01,좋아요
김기형,5,2026-05-30 22:56:35,편리함
최경자,5,2026-05-30 22:49:31,재미있어요
정현정카슈,3,2026-05-30 22:44:51,잘모르겠음
Insuk Kwon,5,2026-05-30 22:39:41,수수료없고 매일 이자주고 다 좋은데 방송봤는데 포인트 안들어오구ㅡㅡ업뎃하래서 했는데 계속 업뎃해야 이용가능하다 뜨고 결국 업뎃만 벌써 5~6번하는거 같은데 언제 반영되나요???
hyung yong “고도칸호랑이” cho,4,2026-05-30 22:37:15,매우좋음
하이루,1,2026-05-30 22:22:32,통장 잔액을 보려고 할때 재부팅이 느린건지 잔액이 얼마 남았는지 확인하는데 많은 시간이 걸림
한기순,4,2026-05-30 22:03:37,재미삼아 날마다 앱 열고 하고있습니다
초롱3,3,2026-05-30 21:35:02,포인트를 5원 1원 주지 말고 50원이라도 주시오ㅠㅠ
연경아,5,2026-05-30 21:04:30,좋습니다
이재유,5,2026-05-30 21:03:04,공유합니다
정지운,5,2026-05-30 20:56:45,사용하기 편리해서 좋아요 ~ ☆☆☆☆☆
조성관,5,2026-05-30 20:54:59,아주좋아요
kim 188.8,1,2026-05-30 20:40:53,앱 실행하면 상단에 대출광고 너무 많이 뜹니다. x표시 눌러도 계속 뜹니다. 길거리에서 명함 뿌리는 사채업자랑 뭐가 다릅니까?
김제,5,2026-05-30 20:19:49,좋아요
양경옥,5,2026-05-30 20:06:05,일주일 방문 미션할때 가끔은 정답을 맞혀도 정답이 인정 안되고 그럴때도 있는데 즐겁게 토스앱 이용 하고 있습니다
정정숙,5,2026-05-30 19:57:52,이번주미션이안열려요
박용수,5,2026-05-30 19:20:25,토스가작동하지않내요빨리고쳐주세요
정태욱,4,2026-05-30 18:51:41,편리해요
김홍선,1,2026-05-30 18:44:34,업데이트하라고 무한반복 열기를 눌렀는데도 계속 제자리. 서버를 안정화 시키고 실행시키시지요!
elpis ep00,1,2026-05-30 18:34:26,환급해준다면서 준비서류 안내도없이 순서대로 결제하니까 마지막에 서류요구하네 이새키들이? 서류있었으면 종소세 경정청구했겠지. 장난까냐? 부동산없어져서 서류구하지도못하는데 염장지르네 돈많이벌어먹으세요. 엔화로 장난치더니 이제 환급으로 장난질이네
윤기은,5,2026-05-30 18:12:44,만보기 복권 다 100만원 10만원 기본이 10000원인데 저 3원 6원 8원 많이주면 10윈입니다 매일 10000키로 걸으면뭐합니까 너무합니다 사람 차별하나요 아님 저 무시하는겁니까
김현철 (부산캐슬),4,2026-05-30 17:56:48,유용하게 사용중입니다
지나가는놉,1,2026-05-30 17:55:21,토스 측에선 돈독 올랐는지 어떻게든 환급금 수수료 때먹구 싶어서 알림 설정 전부 해제해도 거슬리게 배너 띄우고 욕나오게 만듭니다
윤기철,4,2026-05-30 17:48:46,공유해요.
강소라,1,2026-05-30 17:41:15,미션 클릭하면 업데이트 하라고만 뜨고 업데이트가 안됨
김용흠,5,2026-05-30 17:30:11,조아요
응알겠어,1,2026-05-30 17:28:18,5월 29일에 이번 주 미션이 '오늘의 포인트 미션'으로 바뀌었는데 언제부터 이용 가능하게 해주실건가요? 업데이트하라고는 하는데 이틀째 업데이트 하라고 플레이스토어 앱에서 나오지도 않네요? 포인트 얻지 말라는건가요? 그럴거면 차라리 이전 것으로 되돌려 놓으세요.
이정민,3,2026-05-30 17:10:54,수수료 먼저 받아가는게 말이 되냐 수수료 안내만 미리하고 정차 다 끝나면 요구해야지 먼 홈택스 비번까지 만들래 인증서 쓰면 되는걸 앱에서 만드는거니까 홈택스 정식 비번같지도 않음 환불은 금방 되는게 장점
정연숙,5,2026-05-30 17:03:02,굿
신인철,2,2026-05-30 16:55:48,이번에 업데이트 했는데 이번 주 미션 들어가면 자꾸 업데이트 하라고 무한반복 뜨는데 해결 방법좀 알려 주세요
Sunny,4,2026-05-30 16:55:31,주로 사용하는 유용한 앱임!
한길종,5,2026-05-30 16:19:59,그냥저냥
Nova Gazer,5,2026-05-30 15:53:47,은행앱중 가장 나은듯
Amy Kim,1,2026-05-30 15:44:25,그 환급액 알림문자동의 계속 새로 생성하는거 너무 짜치지 않나요
김영선,2,2026-05-30 15:40:43,"오늘의 미션 안되네요 업데이트 떠서 했는데도 뭐 계속 업데이트 하래, 캐시 삭제 재부팅 후에도 무한 업데이트 팝업....."
안희진,1,2026-05-30 15:36:46,증권. 팔로우 친구가 사고팔면 알람뜨는거 8시간전에 사고 팔았는데 이제 알람뜨면 머합니까? 일 똑바로 안하세요?
강호은,1,2026-05-30 15:19:29,업데이트 했는데 이번주미션 되지도 않고..
김정태,1,2026-05-30 15:10:07,이번 업뎃하고 하고부터 이번주 미션 창이 열리질않네요! 클릭하면 업데이트 해라고만 나오네요. 댓글에 나오는데로 해도 안되네요.
김정훈,1,2026-05-30 15:10:00,계속 업데이트 요구
채민규,1,2026-05-30 14:23:52,에러가 너무많음 트래핑도 좀
김동호,1,2026-05-30 13:54:31,"이번에 내 계좌전체보기에서 '금리 좋은 상품모음', '남는돈으로 주식투자 하려면' 등 생뚱맞게 추가된 부분은 역대 최악의 패치라고 봄. 이거 내 계좌 및 자산을 보는데 흐름도 끊기고 심지어 온오프도 안되는 강제임. 진짜 앱이용하는데 불편하고 불쾌함."
이영숙,4,2026-05-30 13:44:33,어려워요
김재문,3,2026-05-30 13:41:49,계속 업데이트 화면 뜸
김우리엘 (여울이 아빠),1,2026-05-30 13:38:04,오늘의 미션 업데이트 후 한다더니 29일이 아니라 30일에도 안 되고 계속 업데이트 하라고만 하네요? 뭔가요
