작성자,평점,날짜,리뷰내용,정제리뷰,긍정확률,예측감성,평점감성
강성원,1,2026-05-30 23:38:18,오늘의 포인트를 하려면 업데이트를.하라고 문구가 뜨는데 업데이트가 되지 않음,오늘의 포인트를 하려면 업데이트를하라고 문구가 뜨는데 업데이트가 되지 않음,0.17309056925364938,부정,부정
고태성,4,2026-05-30 23:02:01,좋아요,좋아요,0.9931559085974366,긍정,긍정
김기형,5,2026-05-30 22:56:35,편리함,편리함,0.44579230199633696,부정,긍정
최경자,5,2026-05-30 22:49:31,재미있어요,재미있어요,0.9975792689182523,긍정,긍정
정현정카슈,3,2026-05-30 22:44:51,잘모르겠음,잘모르겠음,0.3222757684373862,부정,중립
Insuk Kwon,5,2026-05-30 22:39:41,수수료없고 매일 이자주고 다 좋은데 방송봤는데 포인트 안들어오구ㅡㅡ업뎃하래서 했는데 계속 업뎃해야 이용가능하다 뜨고 결국 업뎃만 벌써 5~6번하는거 같은데 언제 반영되나요???,수수료없고 매일 이자주고 다 좋은데 방송봤는데 포인트 안들어오구ㅡㅡ업뎃하래서 했는데 계속 업뎃해야 이용가능하다 뜨고 결국 업뎃만 벌써 번하는거 같은데 언제 반영되나요,0.048068443477459324,부정,긍정
hyung yong “고도칸호랑이” cho,4,2026-05-30 22:37:15,매우좋음,매우좋음,0.967235365511306,긍정,긍정
하이루,1,2026-05-30 22:22:32,통장 잔액을 보려고 할때 재부팅이 느린건지 잔액이 얼마 남았는지 확인하는데 많은 시간이 걸림,통장 잔액을 보려고 할때 재부팅이 느린건지 잔액이 얼마 남았는지 확인하는데 많은 시간이 걸림,0.2667822753972119,부정,부정
한기순,4,2026-05-30 22:03:37,재미삼아 날마다 앱 열고 하고있습니다,재미삼아 날마다 앱 열고 하고있습니다,0.6481530232953907,긍정,긍정
초롱3,3,2026-05-30 21:35:02,포인트를 5원 1원 주지 말고 50원이라도 주시오ㅠㅠ,포인트를 원 원 주지 말고 원이라도 주시오ㅠㅠ,0.3459916165717358,부정,중립
연경아,5,2026-05-30 21:04:30,좋습니다,좋습니다,0.9921052852657865,긍정,긍정
